,run,epoch,loss,accuracy,epoch duration,run duration,batch_size,lr,num_workers,shuffle
0,1,1,0.5711885719001293,78.26166666666667,20.01523733139038,22.034180641174316,100,0.01,0,True
1,1,2,0.3836851188540459,85.77666666666667,20.453636407852173,42.60292172431946,100,0.01,0,True
2,1,3,0.3643198791146278,86.52666666666667,20.028045892715454,62.72705554962158,100,0.01,0,True
3,2,1,0.5694035303095977,78.66666666666667,14.119495153427124,15.037304639816284,100,0.01,1,True
4,2,2,0.3901715629796187,85.77166666666666,14.28301453590393,29.41440463066101,100,0.01,1,True
5,2,3,0.35549610619743666,87.00333333333333,14.495126008987427,44.00561809539795,100,0.01,1,True
6,3,1,0.5679808889826139,78.55166666666666,14.679276943206787,15.607478141784668,100,0.01,2,True
7,3,2,0.37466550382475056,86.25666666666666,14.429940938949585,30.132505416870117,100,0.01,2,True
8,3,3,0.349176459039251,87.08666666666667,14.587202787399292,44.81479501724243,100,0.01,2,True
9,4,1,0.5484958942731222,79.14833333333333,14.733175277709961,15.741093873977661,100,0.01,4,True
10,4,2,0.3870006751020749,85.63833333333334,14.983548641204834,30.815726041793823,100,0.01,4,True
11,4,3,0.353852196931839,86.72166666666666,15.19660758972168,46.10441756248474,100,0.01,4,True
12,5,1,1.0227385024229685,61.41833333333334,18.52374505996704,19.557723999023438,1000,0.01,0,True
13,5,2,0.5365867505470912,79.07833333333333,18.348586797714233,38.00640273094177,1000,0.01,0,True
14,5,3,0.4538839265704155,83.1,19.1171817779541,57.22767972946167,1000,0.01,0,True
15,6,1,0.9744586716095607,61.60666666666667,12.234668493270874,14.049335479736328,1000,0.01,1,True
16,6,2,0.502775390446186,80.905,12.302208185195923,26.447632312774658,1000,0.01,1,True
17,6,3,0.41175221602121986,84.86,13.170902252197266,39.71862602233887,1000,0.01,1,True
18,7,1,0.9870783150196075,62.20666666666666,13.606839895248413,15.402475833892822,1000,0.01,2,True
19,7,2,0.5584419300158818,78.69,13.42300295829773,28.927574634552002,1000,0.01,2,True
20,7,3,0.4638624534010887,82.66333333333333,12.7610445022583,41.78370642662048,1000,0.01,2,True
21,8,1,1.0299976338942847,60.53333333333333,12.58500599861145,14.435692071914673,1000,0.01,4,True
22,8,2,0.5736928125222523,77.905,12.579869508743286,27.103641986846924,1000,0.01,4,True
23,8,3,0.48586575587590536,81.89666666666666,13.02483868598938,40.21656155586243,1000,0.01,4,True
24,9,1,2.090293606122335,23.171666666666667,16.5371036529541,23.88948893547058,10000,0.01,0,True
25,9,2,1.322325348854065,51.085,16.29582715034485,40.28941011428833,10000,0.01,0,True
26,9,3,0.9910287261009216,60.568333333333335,16.260115385055542,56.654620885849,10000,0.01,0,True
27,10,1,2.0846583048502603,21.10333333333333,12.147003173828125,21.245861768722534,10000,0.01,1,True
28,10,2,1.4859987497329712,41.10333333333333,12.24122953414917,33.57917523384094,10000,0.01,1,True
29,10,3,1.0615982214609783,59.64666666666667,12.526875495910645,46.19913578033447,10000,0.01,1,True
30,11,1,2.166885415712992,24.496666666666666,12.529003143310547,21.80250334739685,10000,0.01,2,True
31,11,2,1.3726587891578674,50.16833333333334,12.51487398147583,34.405457973480225,10000,0.01,2,True
32,11,3,0.9832019607226054,62.87,12.27889108657837,46.77443170547485,10000,0.01,2,True
33,12,1,2.0676486492156982,28.408333333333335,12.851149320602417,21.44566774368286,10000,0.01,4,True
34,12,2,1.4184443553288777,46.638333333333335,12.433767080307007,33.967514991760254,10000,0.01,4,True
35,12,3,1.031320720911026,60.46666666666667,12.224694013595581,46.28229284286499,10000,0.01,4,True
